IP-Address,Date-Time,Page-Name

70.112.0.45,August 19 2012 9:12:32PM,landing
70.112.0.45,August 19 2012 10:05:41PM,landing
174.60.151.21,August 20 2012 7:47:42AM,landing
174.60.151.21,August 20 2012 7:52:02AM,article1
174.60.151.21,August 20 2012 7:52:06AM,landing
174.60.151.21,August 20 2012 7:52:08AM,article2
174.60.151.21,August 20 2012 7:52:10AM,landing
70.112.0.45,August 20 2012 8:01:16AM,landing
70.112.0.45,August 20 2012 8:01:18AM,article1
70.112.0.45,August 20 2012 8:01:20AM,landing
216.110.11.20,August 20 2012 12:32:31PM,landing
70.123.129.161,August 22 2012 10:38:36AM,landing
70.123.129.161,August 22 2012 10:39:04AM,article1
70.123.129.161,August 22 2012 10:39:17AM,article2
70.123.129.161,August 22 2012 10:44:12AM,landing
70.123.129.161,August 22 2012 10:44:19AM,landing
70.123.129.161,August 22 2012 10:44:43AM,landing
70.123.129.161,August 22 2012 10:44:53AM,article2
70.123.129.161,August 22 2012 10:44:59AM,landing
70.123.129.161,August 22 2012 10:45:02AM,article3
70.123.129.161,August 22 2012 10:45:10AM,landing
70.123.129.161,August 22 2012 10:45:36AM,landing
70.123.129.161,August 22 2012 10:47:07AM,landing
70.123.129.161,August 22 2012 10:47:34AM,landing
70.123.129.161,August 22 2012 10:47:39AM,article1
70.123.129.161,August 22 2012 10:47:41AM,landing
70.123.129.161,August 22 2012 10:47:44AM,article3
70.123.129.161,August 22 2012 10:47:47AM,landing
70.123.129.161,August 22 2012 10:48:29AM,landing
70.123.129.161,August 22 2012 10:49:07AM,landing
70.123.129.161,August 22 2012 10:49:27AM,landing
70.123.129.161,August 22 2012 10:49:30AM,article3
70.123.129.161,August 22 2012 10:49:35AM,landing
70.123.129.161,August 22 2012 10:49:37AM,article2
70.123.129.161,August 22 2012 10:49:41AM,landing
70.123.129.161,August 22 2012 10:50:11AM,landing
70.123.129.161,August 22 2012 10:50:11AM,landing
70.123.129.161,August 22 2012 10:50:11AM,landing
70.123.129.161,August 22 2012 10:50:23AM,landing
70.123.129.161,August 22 2012 10:50:25AM,article2
70.123.129.161,August 22 2012 10:50:39AM,article3
70.123.129.161,August 22 2012 10:50:53AM,article2
70.123.129.161,August 22 2012 10:50:54AM,landing
70.123.129.161,August 22 2012 10:50:56AM,article3
70.123.129.161,August 22 2012 10:50:57AM,landing
70.123.129.161,August 22 2012 10:54:39AM,landing
70.123.129.161,August 22 2012 10:55:44AM,landing
70.123.129.161,August 22 2012 10:56:51AM,landing
70.123.129.161,August 22 2012 10:58:28AM,landing
70.123.129.161,August 22 2012 11:04:04AM,landing
70.123.129.161,August 22 2012 11:04:24AM,article1
70.123.129.161,August 22 2012 11:04:34AM,landing
70.123.129.161,August 22 2012 11:05:04AM,article3
70.123.129.161,August 22 2012 11:07:04AM,landing
70.123.129.161,August 22 2012 11:07:27AM,landing
70.123.129.161,August 22 2012 11:08:24AM,landing
70.112.0.45,August 25 2012 5:27:07PM,landing
70.123.129.161,August 29 2012 8:24:29PM,landing
70.123.129.161,August 29 2012 8:24:38PM,landing
70.123.129.161,August 29 2012 8:24:40PM,landing
70.123.129.161,August 29 2012 8:24:40PM,landing
70.123.129.161,August 29 2012 8:24:41PM,landing
70.123.129.161,August 29 2012 8:24:41PM,landing
216.188.230.94,August 29 2012 8:51:56PM,landing
216.188.230.94,August 29 2012 8:52:10PM,article1
216.188.230.94,August 29 2012 8:52:13PM,landing
216.188.230.94,August 29 2012 8:52:14PM,article2
216.188.230.94,August 29 2012 8:52:18PM,landing
216.188.230.94,August 29 2012 8:52:19PM,article3
216.188.230.94,August 29 2012 8:52:21PM,landing
216.188.230.94,August 29 2012 8:53:32PM,article3
216.188.230.94,August 29 2012 8:54:10PM,landing
216.188.230.94,August 29 2012 8:55:50PM,landing
206.76.97.177,August 31 2012 11:22:42AM,landing
206.76.97.177,August 31 2012 11:23:06AM,landing
206.76.97.177,August 31 2012 11:23:13AM,article2
206.76.97.177,August 31 2012 11:23:16AM,landing
