IP-Address,Date-Time,Poll-Name,Poll-Response,Poll-Answer

75.187.50.23,11/18/2012 4:05:05 PM,A,14,35-41
75.187.50.23,11/18/2012 4:15:26 PM,A,100,35-41
75.187.50.23,11/18/2012 4:20:00 PM,A,12,35-41
75.187.50.23,11/18/2012 4:20:19 PM,A,69,35-41
75.187.50.23,11/18/2012 4:35:40 PM,C,100,63-69
75.187.50.23,11/18/2012 4:40:11 PM,C,34,63-69
75.187.50.23,11/18/2012 4:45:22 PM,C,23,63-69
75.187.50.23,11/18/2012 4:46:23 PM,C,46,63-69
75.187.50.23,11/18/2012 5:08:56 PM,A,36,35-41
75.187.50.23,11/18/2012 5:09:49 PM,A,56,35-41
75.187.50.23,11/18/2012 5:10:22 PM,A,51,35-41
75.187.50.23,11/18/2012 5:13:49 PM,A,69,35-41
75.187.50.23,11/18/2012 5:14:16 PM,A,25,35-41
98.195.154.181,11/21/2012 9:50:20 PM,A,38,35-41
98.195.154.181,11/21/2012 9:50:35 PM,A,40,35-41
98.195.154.181,11/21/2012 9:54:41 PM,A,55,35-41
98.195.154.181,11/21/2012 9:54:48 PM,A,60,35-41
98.195.154.181,11/21/2012 9:56:58 PM,A,72,35-41
98.195.154.181,11/21/2012 9:57:02 PM,A,12,35-41
98.195.154.181,11/21/2012 9:57:05 PM,A,66,35-41
98.195.154.181,11/21/2012 9:57:09 PM,A,16,35-41
98.195.154.181,11/21/2012 9:57:12 PM,A,78,35-41
98.195.154.181,11/21/2012 9:57:15 PM,A,17,35-41
98.195.154.181,11/21/2012 9:57:27 PM,A,75,35-41
98.195.154.181,11/21/2012 9:57:29 PM,A,36,35-41
98.195.154.181,11/21/2012 9:57:33 PM,A,89,35-41
98.195.154.181,11/21/2012 9:57:36 PM,A,17,35-41
98.195.154.181,11/21/2012 9:57:46 PM,A,83,35-41
98.195.154.181,11/21/2012 9:57:48 PM,A,33,35-41
98.195.154.181,11/21/2012 9:57:52 PM,A,85,35-41
98.195.154.181,11/21/2012 10:00:15 PM,A,45,35-41
98.195.154.181,11/21/2012 10:00:17 PM,A,55,35-41
98.195.154.181,11/21/2012 10:00:20 PM,A,93,35-41
98.195.154.181,11/21/2012 10:00:23 PM,A,19,35-41
98.195.154.181,11/21/2012 10:00:25 PM,A,56,35-41
98.195.154.181,11/21/2012 10:00:31 PM,A,97,35-41
98.195.154.181,11/21/2012 10:20:14 PM,B,44,38
98.195.154.181,11/21/2012 10:20:18 PM,B,16,38
98.195.154.181,11/21/2012 10:20:21 PM,B,64,38
98.195.154.181,11/21/2012 10:20:40 PM,B,69,38
98.195.154.181,11/21/2012 10:21:25 PM,B,47,38
98.195.154.181,11/21/2012 10:21:28 PM,B,22,38
98.195.154.181,11/21/2012 10:21:32 PM,B,20,38
98.195.154.181,11/21/2012 10:21:35 PM,B,44,38
98.195.154.181,11/21/2012 10:21:38 PM,B,63,38
98.195.154.181,11/21/2012 10:21:41 PM,B,76,38
98.195.154.181,11/21/2012 10:21:45 PM,B,15,38
98.195.154.181,11/21/2012 10:21:50 PM,B,62,38
98.195.154.181,11/21/2012 10:21:54 PM,B,72,38
98.195.154.181,11/21/2012 10:21:57 PM,B,8,38
98.195.154.181,11/21/2012 10:28:16 PM,A,28,35-41
98.195.154.181,11/21/2012 10:28:18 PM,A,31,35-41
98.195.154.181,11/21/2012 10:28:23 PM,A,74,35-41
98.195.154.181,11/21/2012 10:28:28 PM,A,85,35-41
98.195.154.181,11/21/2012 10:28:30 PM,A,18,35-41
98.195.154.181,11/21/2012 10:28:34 PM,A,83,35-41
98.195.154.181,11/21/2012 10:28:37 PM,A,10,35-41
98.195.154.181,11/21/2012 10:28:43 PM,A,16,35-41
98.195.154.181,11/21/2012 10:28:46 PM,A,95,35-41
98.195.154.181,11/21/2012 10:28:53 PM,A,81,35-41
98.195.154.181,11/21/2012 10:28:58 PM,A,14,35-41
98.195.154.181,11/21/2012 10:29:01 PM,A,78,35-41
98.195.154.181,11/21/2012 10:37:39 PM,B,8,38
98.195.154.181,11/21/2012 10:37:54 PM,B,47,38
98.195.154.181,11/21/2012 10:37:59 PM,B,59,38
98.195.154.181,11/21/2012 10:38:11 PM,B,82,38
98.195.154.181,11/21/2012 10:39:40 PM,B,66,38
98.195.154.181,11/21/2012 10:39:44 PM,B,82,38
98.195.154.181,11/21/2012 10:40:35 PM,B,62,38
98.195.154.181,11/21/2012 10:42:01 PM,B,28,38
98.195.154.181,11/21/2012 10:42:04 PM,B,70,38
98.195.154.181,11/21/2012 10:42:08 PM,B,79,38
98.195.154.181,11/21/2012 10:42:13 PM,B,22,38
98.195.154.181,11/21/2012 10:42:16 PM,B,62,38
98.195.154.181,11/21/2012 10:44:32 PM,B,30,38
98.195.154.181,11/21/2012 10:44:38 PM,B,22,38
98.195.154.181,11/21/2012 10:44:41 PM,B,47,38
98.195.154.181,11/21/2012 10:44:52 PM,A,9,35-41
98.195.154.181,11/21/2012 10:46:13 PM,A,79,35-41
98.195.154.181,11/21/2012 10:46:16 PM,A,18,35-41
98.195.154.181,11/21/2012 10:46:18 PM,A,25,35-41
98.195.154.181,11/21/2012 10:46:20 PM,A,65,35-41
98.195.154.181,11/21/2012 10:46:28 PM,A,81,35-41
98.195.154.181,11/21/2012 10:46:31 PM,A,30,35-41
98.195.154.181,11/21/2012 10:46:40 PM,A,32,35-41
98.195.154.181,11/21/2012 10:46:49 PM,A,72,35-41
98.195.154.181,11/21/2012 10:46:52 PM,A,15,35-41
98.195.154.181,11/21/2012 10:52:02 PM,A,19,35-41
98.195.154.181,11/21/2012 10:52:06 PM,A,40,35-41
98.195.154.181,11/21/2012 10:52:10 PM,A,66,35-41
98.195.154.181,11/21/2012 10:52:13 PM,A,88,35-41
98.195.154.181,11/22/2012 12:18:05 AM,B,22,38
98.195.154.181,11/22/2012 12:18:23 AM,A,24,35-41
98.195.154.181,11/22/2012 12:18:27 AM,A,30,35-41
98.195.154.181,11/22/2012 12:18:30 AM,A,52,35-41
98.195.154.181,11/22/2012 12:18:49 AM,B,22,38
98.195.154.181,11/22/2012 12:25:00 AM,B,46,38
98.195.154.181,11/22/2012 12:25:13 AM,B,62,38
98.195.154.181,11/22/2012 12:25:18 AM,B,65,38
98.195.154.181,11/22/2012 12:25:36 AM,A,8,35-41
98.195.154.181,11/22/2012 12:27:07 AM,B,72,38
98.195.154.181,11/22/2012 12:27:22 AM,B,13,38
98.195.154.181,11/22/2012 12:27:29 AM,B,87,38
98.195.154.181,11/22/2012 12:33:14 AM,B,38,38
98.195.154.181,11/22/2012 12:35:29 AM,B,75,38
98.195.154.181,11/24/2012 12:00:24 PM,A,26,35-41
98.195.154.181,11/24/2012 12:00:29 PM,A,41,35-41
98.195.154.181,11/24/2012 12:01:13 PM,A,71,35-41
98.195.154.181,11/24/2012 12:01:16 PM,A,10,35-41
98.195.154.181,11/24/2012 12:08:18 PM,A,63,35-41
98.195.154.181,11/24/2012 12:16:37 PM,A,74,35-41
98.195.154.181,11/24/2012 12:21:31 PM,A,73,35-41
98.195.154.181,11/24/2012 12:21:52 PM,A,54,35-41
98.195.154.181,11/24/2012 12:21:55 PM,A,7,35-41
98.195.154.181,11/24/2012 12:21:59 PM,A,86,35-41
98.195.154.181,11/24/2012 12:23:38 PM,A,78,35-41
98.195.154.181,11/24/2012 12:23:41 PM,A,12,35-41
98.195.154.181,11/24/2012 12:23:44 PM,A,88,35-41
98.195.154.181,11/24/2012 12:23:47 PM,A,26,35-41
98.195.154.181,11/24/2012 12:23:49 PM,A,62,35-41
98.195.154.181,11/24/2012 12:23:52 PM,A,88,35-41
98.195.154.181,11/24/2012 12:26:57 PM,A,72,35-41
98.195.154.181,11/24/2012 12:26:59 PM,A,29,35-41
98.195.154.181,11/24/2012 12:27:37 PM,A,74,35-41
98.195.154.181,11/24/2012 12:27:39 PM,A,14,35-41
98.195.154.181,11/24/2012 12:27:41 PM,A,65,35-41
98.195.154.181,11/24/2012 12:27:54 PM,A,78,35-41
98.195.154.181,11/24/2012 12:28:06 PM,A,52,35-41
98.195.154.181,11/24/2012 12:31:51 PM,B,62,38
98.195.154.181,11/24/2012 12:35:21 PM,B,62,38
98.195.154.181,11/24/2012 12:35:25 PM,B,22,38
98.195.154.181,11/24/2012 12:35:30 PM,B,47,38
98.195.154.181,11/24/2012 12:35:34 PM,B,22,38
98.195.154.181,11/24/2012 12:35:52 PM,B,62,38
98.195.154.181,11/24/2012 12:36:31 PM,B,47,38
98.195.154.181,11/24/2012 12:36:36 PM,B,78,38
98.195.154.181,11/24/2012 12:36:38 PM,B,29,38
98.195.154.181,11/24/2012 12:36:41 PM,B,85,38
98.195.154.181,11/24/2012 12:36:43 PM,B,58,38
98.195.154.181,11/24/2012 12:36:50 PM,B,36,38
98.195.154.181,11/24/2012 12:36:54 PM,B,38,38
98.195.154.181,11/24/2012 12:38:07 PM,B,38,38
98.195.154.181,11/24/2012 12:42:09 PM,,64,
98.195.154.181,11/24/2012 12:44:26 PM,,84,
98.195.154.181,11/24/2012 12:44:27 PM,,84,
98.195.154.181,11/24/2012 12:47:10 PM,A,61,35-41
